activity_id,smiles,pAff
6386627,COc1ccccc1CSc1nc(SCc2ccccc2)nc(=O)[nH]1,4.81
115906,Cc1ccc2nc(O)n(C3CCN(Cc4cc5c(cc4Cl)OCO5)CC3)c2c1,8.62
3301796,CC(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CC(C)C)C(N)=O)C(C)C,6.8
17621297,Cc1ccc(F)cc1-c1ccc2cc(C(=O)NC3CCC3)ncc2c1,7.38
23292366,N#Cc1ccc(CN(CC(N)=O)C(=O)CSc2ccccc2Cl)cc1,6.84
24776573,COc1ccc(C(C)=O)c(Oc2ccc(NC(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)cc2)c1,5.16
2005735,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCCN)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]2CSSC[C@H](NC1=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N2,4.55
13238037,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,4.24
7755814,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,6.72
5564063,O=C(Nc1nc2ccc(F)cc2s1)c1ccccn1,5.34
25575940,Cc1ccc(-c2cc3[nH]cc(C(=O)NCC4CCNCC4)c3cc2-c2ccc(C#N)cc2)cc1,5.07
17765237,O=C(NCc1cccnn1)c1cc(NC(=O)c2cc(-c3ncccc3F)c(Cl)cc2Cl)n(-c2ccccc2)n1,8.49
17797875,CC1(N)CCN(c2cccnc2NC(=O)c2nc(-c3ncccc3F)cnc2N)CC1,8.77
2155095,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,7.36
1194419,S=c1[nH]ccn1Cc1ccccc1,4.5
12080571,N#CCCN1C(=O)c2ccccc2C1C(=O)NCc1ccc(OC(F)(F)F)cc1,4.58
24838878,O=C(O)CCC1CN(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,6.13
24377155,O=C1C=CC[C@H](C[C@@H]2C[C@@H]3C[C@@](/C=C/c4ccccc4)(Oc4cc(O)c5c(c43)O[C@@H](c3ccccc3)CC5=O)O2)O1,5.04
2613047,CC1(C)C=C(COc2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)C(C)(C)N1,8.37
5236804,Cc1cc(C#N)cc2nc(-c3ccc(NC(=O)CN4CCN(c5ccc(C(F)(F)F)cc5)CC4)cc3)oc12,7.8
18277891,CC(=O)O[C@@H](C/C=C(\C)C(=O)O)[C@@H](C)[C@H]1C[C@H](OC(C)=O)[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](OC(C)=O)C(C)(C)[C@@H]1C[C@H]3O,4.55
18074778,c1ccc2c(NCc3cn(CCN4CCCCC4)nn3)c3oc4ccccc4c3nc2c1,5.56
14537906,CC(C)Sc1oc(N)nc1-c1ccc(P(=O)(O)O)o1,6.96
13231479,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,4.68
25681819,CCC(=C/[C@H](C)C/C=C/C(C)=C/[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C/C(C)=C/C(=O)O)/C=C/[C@@H]1OC(=O)C=C[C@@H]1C,9.52
1476879,COc1ccc(N2N=C(Sc3ccc(Cl)cc3)CC(CC[C@@H](C)NC(=O)[C@H]3CCNC[C@@H]3c3ccc(F)cc3)C2=O)cc1,7.66
19099898,NS(=O)(=O)c1ccc(CCNC(=O)c2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)cc1,5.34
1654533,Cc1ccc(C(=O)C2=C(O)C(=O)N(CCCc3c[nH]cn3)C2c2ccc(Cl)cc2)cc1,4.03
23261550,CCS(=O)(=O)c1ccc2c(c1)CN(C(C)=O)C2C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,6.52
2288870,Cn1cc(/C=C/C(=O)NS(=O)(=O)c2cc(F)c(F)cc2F)c2c(Oc3ccc(Cl)c(Cl)c3)cccc21,5.12
15056192,O=C1c2c(O)cccc2C(=O)c2c1c(O)cc1nc(N3CCCCC3CCO)sc21,4.78
1973557,CC(C)C[C@H](N)c1cc(C(F)(F)F)ccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2Cl)NC(=O)CN)CC1,8.74
15194704,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,4.05
9536697,Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cccc(OC(F)(F)F)c4)c3)cc12,5.7
18675035,CN(C1=CC(=O)C(=O)c2ccccc21)c1ccc(F)c(Cl)c1,5.99
980337,COc1ccccc1CNCc1c(-c2ccccc2)c2ccccc2c(=O)n1C,6.34
12188895,C=C1CC[C@@H](O[C@H]2C[C@@](O)([C@H](C)NC(=O)c3[nH]c(C)c(Cl)c3Cl)[C@H](O)[C@@H](C)O2)[C@@H]2C=C[C@H](C)C(/C(O)=C3\C(=O)[C@H](C(C)C)N([C@H]4O[C@H](C)[C@H](OC(N)=O)[C@H](OC(C)=O)[C@@H]4OC)C3=O)[C@@H]12,6.05
17607919,CC(=O)NC(C)c1ccc(OC2CN(c3ncc(Br)cn3)C2)cc1,6.26
9649196,CC(C)(C)c1ccc2nc(-c3n[nH]c4ccccc34)[nH]c2c1,5.2
1018427,O=C(Cc1ccc(Cl)cc1)NC1N=C(c2ccccc2F)c2ccccc2NC1=O,5.89
818936,CCCOc1ccc(C(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)C2CC2)cc1,7.1
22974031,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)CCCCCCCCCCOc2ccc(Br)cc2)[C@@H](O)[C@H]1O,4.98
3442261,CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,5.19
13978736,O=C(C(c1ccc(Cl)cc1)c1cccnc1)N1CCN(c2ccc(C(F)(F)F)cn2)CC1,5.16
2991529,O=C(/C=C/c1cccc2ccn(Cc3ccc(Cl)cc3Cl)c12)NS(=O)(=O)c1cccs1,5.09
16513909,CC(=C/c1ccccc1)/C=C1\SC(N(C)c2ccc(O)cc2)=NC1=O,8.0
13947065,CNCCOCCn1nc(OC)c2cc([N+](=O)[O-])ccc21,4.57
6328661,N#Cc1ccn(CC23CNCC[C@]2(c2ccc(Cl)c(Cl)c2)C3)c1,7.5
19282843,COc1ccc(-c2cn(C[C@H](O)[C@H]3OC(=O)C(OCc4ccccc4)=C3OCc3ccccc3)nn2)cc1,4.58
25078086,COC1=C(OC)C(C)(O)c2cc(C)c(C(C)=O)c(O)c2C1=O,4.38
12179007,O=c1cc(-c2ccc(OCCOCCN(CCO)CCOCCOc3ccc(-c4cc(=O)c5ccccc5o4)cc3)cc2)oc2ccccc12,5.16
7960451,COc1ccc(N/N=C2\S/C(=C(/C#N)C(=O)Nc3ccc(C)cc3)N(c3ccccc3)C2=O)cc1,4.47
3007701,Cc1ncn2c1Cn1cc(CO)nc1-c1cc(Br)ccc1-2,8.09
25740591,CCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(C)=O,5.35
17648824,CC(C)NC(=O)c1ccc(OCc2conc2-c2ccccn2)nc1,7.88
2033579,COc1cc2c3c(c4cc(OC)c(OC)cc4c2cc1OC)[C@H](O)[C@@H]1CCCN1C3,5.97
960060,COCCOCn1cc(C(N)=S)c2c(N)ncnc21,5.89
22975882,CC(=O)OC[C@H]1OC(OC(C)=O)[C@H](NC(=O)c2cn(C3CC3)c3cc(N4CCN(C(C)=O)CC4)c(F)cc3c2=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,5.44
17614553,O=c1c2ccccc2[se]n1CCCn1[se]c2ccccc2c1=O,7.4
2120773,CCCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc12,6.22
17771963,COC(=O)C1CCN(CCN2CCN(C(=O)Cn3cc(NC(=O)c4cnn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2)CC1,9.16
12671773,N#Cc1c(-c2ccc(Cl)cc2)nc(SCc2ccccc2)nc1N1CCC(C(=O)c2ccccc2)CC1,5.01
18078175,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\OCC(O)CO,6.27
5508514,CCOc1cc(/C=C(\C#N)C(=O)Nc2cccc(C(=O)O)c2)ccc1OCc1ccc(Br)cc1,5.76
3557255,Cl.Cl.NCCCC[C@H](N)C(=O)CCCn1c2c(c3ccccc3c1=O)C(=O)c1ccccc1-2,4.84
25678187,Cn1c2c([n+](C)c1-c1ccco1)C(=O)c1ccccc1C2=O.[I-],5.16
1666547,CO[C@]1(C#CC(O)C2c3ccccc3C=Cc3ccccc32)CN2CCC1CC2,7.0
16491837,CC(=O)c1cc(-c2ccccc2S(C)(=O)=O)c2cc(CNC(=O)OC(C)(C)C)ccn12,6.17
1792957,N#C[C@@H]1CCCN1C(=O)CNCCC(=O)NCCc1ccccc1,5.59
16824251,C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]3CC[C@]4(C)[C@H]5CC=C6[C@@H]7CC(C)(C)CC[C@]7(C(=O)O)CC[C@@]6(C)[C@]5(C)CC[C@H]4C3(C)C)OC[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,5.43
235859,CCc1nc2c(C)cc(C)nc2n1Cc1ccc2c(c1)CCN2C(=O)c1ccccc1C#N,4.6
25628012,CS(=O)(=O)c1ccc(-c2ncc(C(=O)NCc3cn(-c4cc(F)ccn4)nn3)s2)cc1,6.71
3316362,COc1ccc2c(c1)CCc1c-2nc2ccccc2c1N,4.33
13213836,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,9.15
25669838,N#Cc1ccc(N(CSc2ccc(O)cc2)n2cnnc2)cc1,8.77
3390153,Cc1csc(NC(P(=O)(O)O)P(=O)(O)O)n1,5.3
7584646,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,5.39
14988443,Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3cccs3)C2)cc1,5.73
17687743,Cc1c([C@@H]2CN3CCN(C(=O)C4CCc5cc(-n6cnnn6)ncc54)C[C@H]3CO2)ccc2c1COC2=O,6.25
3433962,Cc1ccc(-c2csc(N/N=C3\CCCCC3C)n2)cc1,6.85
17650123,CC1(c2cccc(NC(=O)c3ncc(Br)cn3)c2)COCC(N)=N1,6.27
17753955,O=C(CN1CCOCC1)N1CC(Oc2ccc(NC(=O)N3Cc4ccncc4C3)cc2)C1,6.98
1814171,O=C(C[C@@H](NS(=O)(=O)c1ccc2ccccc2c1)c1ccccc1)N[C@H]1CCCc2cc(CN3CCCCC3)ccc21,7.07
506635,Nc1nc(OCCC2CCCCC2)c2nc[nH]c2n1,4.36
2409496,NC[C@H](Cc1ccccc1F)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1,7.41
13326082,COc1ccccc1N1CCCN(CCCCNC(=O)c2cccc3c2-c2ccccc2C3=O)CC1,6.18
12640005,O=C(NC1CCCCCC1)C1CCN(c2nc3cc(Cl)ccc3o2)CC1,6.09
23223783,C[n+]1ccc2c(c1)c1cc(F)ccc1n2CCC(=O)N1c2ccccc2Sc2ccccc21.[I-],5.68
3084216,CN1CC[C@H](N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,5.8
1605201,CSc1nc(/C=C(\C)[C@@H]2C[C@@H]3O[C@]3(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O2)cs1,9.59
2390980,Cn1c(N/N=C(/C=C/c2ccco2)c2ccc(Cl)cc2)nc2ccccc2c1=O,4.1
13250102,CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(S(=O)(=O)c3ccccc3C(C)(C)C)cc2)c(O)c(O)c1O,5.88
16791817,COc1cc2ccc3c(-c4c(O)cc(OC)c5c4ccc4cc(O)c(OC)cc45)c(O)cc(OC)c3c2cc1O,5.55
450551,CCCCCCCN(CCCCCSc1nc(-c2ccco2)c(-c2ccco2)[nH]1)C(=O)Nc1ccc(F)cc1F,6.35
6343538,CCOc1ccc(OCC(O)CN(C)Cc2c(C)nn(Cc3ccc(OC)cc3)c2C)cc1,4.17
2422683,O=C(CCCCCCCCCCOc1cc(O)cc(O)c1)NCCO,5.0
17714383,CC(=O)N[C@@H](C)c1ccc(OC2CCN(c3ccc(OC4CC4)cc3C)C2)cc1,7.07
18761238,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,6.25
2259688,CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1.Cl,8.62
17761060,O=C(NS(=O)(=O)c1ccc(NCCCN2CCOCC2)c([N+](=O)[O-])c1)c1ccc(N2CCN(Cc3ccccc3-c3ccc(Cl)cc3)CC2)cc1Oc1ccc(-c2cccnc2)cc1,6.95
5790258,Cc1ccc2nc(Nc3ccccc3)c(/C=N/O)c(=O)n2c1,5.0
1805933,COc1ccc(C(=O)/C=C/c2ccnc3ccccc23)c(OC)c1,5.52
3404312,NC(=O)c1ccnc(-c2ccc3c(Nc4ccc(C(F)(F)F)cn4)ccnc3n2)c1C(F)(F)F,7.89
2406891,COc1ccc(N/N=C(\c2cc(OC)c(OC)c(OC)c2)c2nc(-c3cc(OC)c(OC)c(OC)c3)n[nH]c2=O)cc1,5.24
18005658,CCCCCON1C(=O)[C@@H](NC(=O)OCCCCC2CCCCC2)[C@@H]1C,6.41
12438897,c1ccc2[nH]ccc2c1,4.11
2254271,CCOc1ccccc1OCC1CN(C2CCC2)CCO1,5.15
1807787,CCOCCC1(Oc2ccc(Oc3ccc(C(=O)NCc4cccc(F)c4)cc3)cc2)C(=O)NC(=O)NC1=O,9.07
2601702,COc1nc(N)nc2c1ncn2/C=C1/CC1(CO)CO,5.52
15272693,CC(Cn1ccnc1)NC(=O)C1CC1c1cccc(Cl)c1Cl,6.85
25040011,CC(=O)Nc1ccc2c(c1)S(=O)(=O)c1cc(C)ccc1C2=O,8.0
15271073,CN1C(=O)c2ccccc2Sc2ccc(NC(=O)NCc3ccco3)cc21,6.3
3605888,CCCCCCCCCCNC(=O)c1cn2c3c(c(N4CCN(C)CC4)c(F)cc3c1=O)OC[C@@H]2C,5.52
5531247,CCN1C(=O)C(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,4.66
1181790,C[C@@H]1Cc2ccccc2CN1,6.0
1744744,CNC(=O)c1cccc(NCc2cnc(Nc3ccccn3)s2)c1,6.55
717244,COc1cccc2c1CC(NCCCCN1C(=O)CC3(CCCC3)CC1=O)CO2.O=C(O)C(=O)O,6.05
3522892,CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3CCc3ccc(C)cc3)C2=O)C(=O)c2cc(O)c(O)c(CCc3ccc(C)cc3)c2C1=O,5.69
2142262,OC[C@@H]1N[C@@H](CO)[C@H](O)[C@H]1O,5.85
24503863,CCOc1cc2c(NCCc3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)ncnc2cc1F,7.38
19361425,O=C(NC(CCCCCSSCCCCCC(NC(=O)OCc1ccccc1)C(=O)Nc1cccc2cccnc12)C(=O)Nc1cccc2cccnc12)OCc1ccccc1,8.12
2391208,O=C(O)c1ccc(OCCc2c(CCNS(=O)(=O)CCN3CCSC3)n(C(c3ccccc3)c3ccccc3)c3ccc(Cl)cc23)cc1,6.48
952907,Oc1ccc2c3c1OC1c4[nH]c5cccc(Oc6ccccc6)c5c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,6.4
5189214,O=C(OCCc1c(-c2ccccc2Cl)c2cc(Cl)ccc2[nH]c1=O)C1CCCCC1,4.47
25108449,O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc23)cc1,7.4
10863370,N=C(N)NCCC[C@@H](NC(=O)[C@@H](CCCNC(=N)N)NC(=O)CCCCCNC(=O)[C@@H](CCCCN)NC(=O)CCCCCCCN1CCCN(S(=O)(=O)c2cccc3cnccc23)CC1)C(N)=O,5.04
9606029,COc1ccc(-c2cc3nccn3c(Nc3ccccc3C(N)=O)n2)cc1OC,7.4
18495362,CN(CC(=O)NCc1cnc2scc(-c3ccc(Br)cc3)n12)C(=O)Cc1cccc(O)c1,6.35
18484087,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1,4.77
13916613,CCCCCCc1cc2cc(Cl)ccc2n1C(=O)CC(C)CC(=O)O,6.85
17959240,COc1cc(O)c(C(=O)/C=C/c2ccccc2OC)c(OC)c1,5.0
2488281,O=C(Nc1c(F)cccc1F)c1cccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(N4CCC(N5CCCCC5)CC4)cc3)n2)c1,8.05
238770,N#CC[C@H](NC(=O)[C@@H](Cc1ccccc1)NS(=O)(=O)Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1,4.0
1413667,Cc1c(CN(C=O)c2ccc(Cl)c(Cl)c2)cnc2nc(N)nc(N)c12,7.08
13117626,CCc1ccc(-c2cnc3ncnc(O)c3n2)cc1,4.84
911592,CCCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC,5.75
17991887,CSc1nc(NCCCCNc2ccnc3cc(Cl)ccc23)c(C#N)c(-c2ccccc2)n1,5.07
16460625,C=CCOc1ccc2oc(=S)ccc2c1,5.9
15285508,COc1ccc(Cl)cc1S(=O)(=O)N1CCOc2ccc(C(=O)Nc3ccc(-c4noc(=O)[nH]4)cc3)cc21,6.87
24972390,CC(Nc1ccn2ncc(C(=O)NC3CCOCC3)c2n1)c1cccc(F)c1,7.97
2639226,COC(=O)c1ccc(CNC(=O)c2ccc(/C=C/C(C)=O)[nH]2)cc1,6.58
849511,Cc1nn(C)c2ncc(C(=O)NO)c(N(C)S(=O)(=O)c3ccc(Oc4ccc(Cl)cc4)cc3)c12,6.45
22779351,Cc1cc(NC2CCc3cc(Br)ccc3C2)n2nc(C(C)(F)F)nc2n1,6.3
7754069,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,4.73
7850064,COc1cc2c(CNS(C)(=O)=O)cnc(C(=O)c3cccc(OC(C)C)c3)c2cc1OC,6.05
25639052,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C[C@H](OC(=O)Cn5ncn(-c6ccc(C)cc6)c5=O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,7.4
509869,Cc1cc(Cn2cnc3c2C[C@@H](C(=O)O)N(C(=O)C(c2ccccc2)c2ccccc2)C3)ccc1N(C)C.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,8.16
16901311,c1ccc(-c2cc(CNc3nc(Nc4cc(C5CC5)[nH]n4)cc(N4CCCC4)n3)on2)cc1,7.3
20632048,Cc1oc2ncnc(SCC(=O)O)c2c1C,7.3
18923339,CC(=O)Nc1ccc2c(-c3cccs3)ccnc2c1O,5.64
1876267,[N-]=[N+]=Nc1nc2c(N)[n+]3cnc2n1[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])OC[C@H]2C[C@@H]3[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,5.38
25574553,COc1ccc(Cn2nc(C(=O)Nc3ccc(F)c(C(=O)NC4CC4)c3)ccc2=O)cc1F,8.1
12447035,Cl.Cl.Cl.Cl.Clc1ccccc1CNC[C@H]1CC[C@H](CNCc2ccccc2Cl)CC1,6.3
24787538,CS(=O)(=O)N1CCC(Nc2ncc3c(n2)N(C2CCOCC2)C(=O)C32CC2)CC1,5.66
12709190,COC(=O)[C@@]12Oc3cc4c(c(O)c3C(=O)C1=C(O)CC[C@@H]2O)[C@@H]1C=C[C@@]2(C4)C(=O)c3cc(C)cc(O)c3C(O)=C2C1=O,5.48
1432685,Cn1cncc1CN1CC(N(CC(=O)OC(C)(C)C)S(=O)(=O)c2cccnc2)Cc2cc(C#N)ccc21,6.65
22818736,CC1(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)CCCN1,5.68
16602133,CC(C)OC(c1cccc(C(F)(F)F)c1)c1nc(-n2ccc(NC(=O)c3cscn3)cc2=O)c[nH]1,6.75
2013661,C[C@H]1CN(C(C)(CO)CO)CCN1C(=O)OC1(C2CCCC(c3cccc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1,8.29
18464994,COc1cc(NC(=O)Nc2ccc(SC)cc2)c2c(c1O)-c1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,4.32
18765247,O=C(O)CCCC(=O)Nc1cc(Nc2cccc(Br)c2)ncn1,7.16
12165612,C/C(=N\O)c1c(-c2ccc(F)cc2)n2c3c(cccc13)C(=O)NCC2,8.04
3417279,CC(C)c1ccc(S(=O)(=O)Nc2ccc([C@@]34C[C@@H]3CN(C)C4)cc2)cc1,8.2
16353273,Cc1ccc(C(=O)N2CCC[C@@H](Oc3ccc(C(F)(F)F)cn3)[C@@H]2C)c(-n2nccn2)c1,7.92
744509,Cl.O=C(O)C1CCCN(CCOC2c3ccc(Cl)cc3CCc3cc(Cl)ccc32)C1,5.8
18758648,COc1cc(C2C(C#N)=C(N)Oc3[nH]nc(CCCC(C)C)c32)cc([N+](=O)[O-])c1O,6.14
13846813,Cc1nc(N)sc1-c1nc(C(C)(C)C)no1,7.17
214374,CCCCSCc1ccc2c(c1)c1c3c(c4c5cc(CSCCCC)ccc5n5c4c1n2[C@H]1C[C@](O)(C(=O)OC)[C@]5(C)O1)CNC3=O,6.84
15765617,[C-]#[N+][C@@]12CCC(=C)[C@H]3[C@H](CC(C)(C)NC(=O)C(c4ccccc4)N(CCC(C)C)C(=O)c4ccncc4)C[C@H](C)[C@@H](CC[C@@H]1C)[C@@H]32,7.0
8047525,C=C1C(=O)O[C@@]23CC[C@@H]4[C@](C)(CO)CCC[C@@]4(C)[C@@H]2CC[C@@]1(O)C3,6.8
2120731,COc1cc2nccc(Oc3ccc4c(C(=O)NCC(F)(F)F)cccc4c3)c2cc1OC,7.8
17990967,C=CC(=O)Nc1cccc(F)c1Nc1ncc(OCc2c(Cl)c(OC)cc(OC)c2Cl)cn1,6.4
17658481,Cc1ccccc1C1CCc2cc(Oc3nc(C)c(C(=O)NCCO)s3)ccc2O1,6.05
17889735,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,7.72
3379980,NS(=O)(=O)c1nnc(NC(=O)CC23CC4CC(CC(C4)C2)C3)s1,8.05
19435361,CCCN(CCCCCc1ccc(O)c(OC)c1)[C@H]1CCc2nc(N)sc2C1,8.8
2585836,CCCCCCCCCCCCS(=O)(=O)F,6.7
1076822,CN(C)CCNC(=O)c1cccc2c1Oc1cc([N+](=O)[O-])ccc1O2,5.43
1831161,Nc1nc(OCCc2c[nH]c3c(Br)cccc23)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,6.6
1076375,Cc1cccc(Cl)c1Nc1nc2cc(N3CCOCC3)ccc2n2cncc12,8.22
1410563,Cc1cc(O)cc(C(C)C)c1C[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,6.72
12114360,COc1cc(COc2ccc(NC(=O)CCCCCCC(=O)OCc3ccc(CN=[N+]=[N-])cc3)cc2)cc(N=[N+]=[N-])c1,4.07
1471558,CN(c1ccccc1)c1cc[n+](Cc2cccc(-c3cccc(C[n+]4ccc(N(C)c5ccccc5)cc4)c3)c2)cc1.[Br-].[Br-],5.66
19155032,NC(=O)c1ccc(-c2cncc(Cl)c2)cc1,4.85
24340729,O=C1c2cc(Cl)c3c4c(Oc5ccc(OCc6cn(CCCN7C[C@H](O)[C@@H](O)[C@H](O)[C@H]7CO)nn6)cc5)cc5c6c(cc(Oc7ccc(OCc8cn(CCCN9C[C@H](O)[C@@H](O)[C@H](O)[C@H]9CO)nn8)cc7)c(c7c(Cl)cc(c2c37)C(=O)N1Cc1cn(CCCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)nn1)c64)C(=O)N(Cc1cn(CCCN2C[C@H](O)[C@@H](O)[C@H](O)[C@H]2CO)nn1)C5=O,6.92
6422480,CCCCC(O)(c1ccc(Cl)cc1)c1cncnc1,6.3
13858364,COCCn1c(-c2ccccc2Cl)nc2c(N3CCN4C(=O)CCC4C3)nc(C)nc21.Cl,7.38
1454911,O=C(O)C(=O)/C=C(\O)c1ccccc1,5.24
5785977,COc1cccc(NC(=O)c2ccccc2)c1,4.95
16360102,O=c1nc(OCC2COCCO2)cc2n1CCc1ccccc1-2,7.0
16897490,NS(O)(O)c1ccc2[nH]c(-c3ccc(Oc4ccc(Cl)cc4)cc3)nc2c1,7.26
2692420,COc1cc(O)c(/C=C\C(=O)O)cc1[C@@H](O)CC(C)C,4.75
13270558,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,5.36
2068836,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1ccccc1F)Cc1cc(F)c(F)cc1F,4.12
19176729,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,7.6
